Date,Current_Phase,Recession_Composite,Ticker,Tier,Beta_1Y,Downside_Capture,Upside_Capture,Sortino,Volatility_60D_%,Max_Drawdown_24M_%,D1_Recession,D2_CounterCyclical,D3_Defensive_Quality,D4_Volatility_Protection,D5_Macro_Fit,Total_Score,Signal,Recommended_Weight_%,Stop_Loss,Note
2026-05-17,Recession-Warning,58.0,XLP,Tier1,0.63,67.6,75.1,1.67,8.8,-34.1,58.0,42.0,89.0,66.0,56.0,78,FLIGHT_TO_QUALITY,10.4,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,XLV,Tier1,0.54,53.7,52.0,0.93,21.6,-18.7,58.0,46.0,88.0,65.0,67.0,75,CORE,5.9,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,XLU,Tier1,0.5,64.5,60.2,0.58,33.3,-18.2,58.0,34.0,68.0,74.0,51.0,73,SATELLITE,4.4,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,VPU,Tier1,0.53,50.1,54.2,2.15,36.7,-33.2,58.0,61.0,91.0,77.0,82.0,76,CORE,9.5,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,VHT,Tier1,0.53,49.8,52.0,1.84,10.8,-34.6,58.0,58.0,88.0,65.0,50.0,75,CORE,6.9,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,TLT,Tier2,0.12,39.7,50.8,1.95,31.1,-14.9,58.0,67.0,66.0,69.0,61.0,79,FLIGHT_TO_QUALITY,10.9,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,IEF,Tier2,-0.06,50.9,83.5,1.29,27.3,-17.8,58.0,52.0,65.0,63.0,51.0,85,FLIGHT_TO_QUALITY,11.3,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,SHV,Tier2,0.05,42.6,82.8,0.81,10.8,-13.7,58.0,54.0,69.0,87.0,78.0,87,FLIGHT_TO_QUALITY,9.8,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,GLD,Tier2,0.17,69.3,60.9,0.6,16.4,-17.8,58.0,30.0,89.0,85.0,50.0,85,FLIGHT_TO_QUALITY,10.8,-10%,Synthetic model output; ±5% estimation error.
2026-05-17,Recession-Warning,58.0,IAU,Tier2,-0.03,71.9,61.2,1.33,34.0,-15.9,58.0,35.0,94.0,88.0,58.0,82,FLIGHT_TO_QUALITY,9.1,-10%,Synthetic model output; ±5% estimation error.
