date,eth_binance_okx,eth_binance_bybit,eth_okx_bybit,eth_binance_bithumb,eth_okx_bithumb,eth_bybit_bithumb,bnb_binance_okx,bnb_binance_bybit,bnb_okx_bybit,bnb_binance_bithumb,bnb_okx_bithumb,bnb_bybit_bithumb
2020-01-01,-0.000100,0.000200,0.000300,0.003558,0.003457,0.003758,-0.000300,0.000000,0.000300,,,
2020-01-02,0.003291,-0.004595,-0.007860,-0.004068,-0.000790,-0.008644,0.001706,-0.003464,-0.005161,,,
2020-01-03,-0.000211,-0.002824,-0.002614,0.008167,0.007954,0.005319,0.002153,-0.002848,-0.004990,,,
2020-01-04,0.001952,-0.002061,-0.004005,-0.009682,-0.007749,-0.011723,0.003106,0.000999,-0.002101,,,
2020-01-05,-0.002165,0.001418,0.003590,0.001587,-0.000581,0.003007,-0.000744,0.001258,0.002003,,,
2020-01-06,-0.004420,0.004895,0.009356,-0.012237,-0.016602,-0.007401,-0.003342,0.002477,0.005838,,,
2020-01-07,-0.001534,0.001281,0.002820,-0.000970,-0.002503,0.000310,-0.003898,0.001634,0.005554,,,
2020-01-08,0.001446,0.001232,-0.000214,0.006947,0.008403,0.008187,-0.002753,-0.000599,0.002160,,,
2020-01-09,0.003424,-0.001679,-0.005086,0.000427,0.003853,-0.001253,-0.001052,-0.000317,0.000736,,,
2020-01-10,0.003201,0.000540,-0.002652,0.005853,0.009073,0.006397,-0.001995,-0.000300,0.001698,,,
2020-01-11,-0.000684,0.001311,0.001996,-0.008537,-0.009214,-0.007236,-0.000343,-0.002296,-0.001954,,,
2020-01-12,0.001854,-0.001528,-0.003376,0.000123,0.001978,-0.001405,-0.002706,-0.000561,0.002151,,,
2020-01-13,0.000805,0.001097,0.000292,0.001481,0.002287,0.002580,-0.001134,0.002340,0.003478,,,
2020-01-14,-0.000870,0.001901,0.002773,0.010209,0.009330,0.012129,-0.000703,0.000575,0.001279,,,
2020-01-15,0.000561,0.002318,0.001757,0.002265,0.002827,0.004589,-0.001727,0.003501,0.005237,,,
2020-01-16,-0.002186,0.004059,0.006259,0.008004,0.005800,0.012095,-0.003983,0.001697,0.005702,,,
2020-01-17,0.000159,0.004575,0.004415,0.008332,0.008492,0.012945,0.000879,0.003003,0.002122,,,
2020-01-18,-0.003540,0.001561,0.005119,0.010246,0.006670,0.011823,0.000219,0.003205,0.002986,,,
2020-01-19,-0.003277,-0.001340,0.001943,-0.009903,-0.013147,-0.011230,-0.001026,0.002647,0.003677,,,
2020-01-20,-0.000738,-0.000937,-0.000200,-0.007645,-0.008376,-0.008574,0.003123,0.001316,-0.001801,,,
2020-01-21,-0.006131,0.003113,0.009301,-0.000345,-0.006473,0.002767,-0.004236,0.000988,0.005246,,,
2020-01-22,-0.004691,0.004110,0.008842,-0.005343,-0.010009,-0.001256,-0.006025,-0.001431,0.004622,,,
2020-01-23,-0.001641,0.003840,0.005490,0.003523,0.001876,0.007376,-0.001638,0.000851,0.002492,,,
2020-01-24,-0.002932,0.004661,0.007616,0.006958,0.004005,0.011651,-0.002524,0.001826,0.004361,,,
2020-01-25,-0.002042,0.000198,0.002245,0.016481,0.014405,0.016682,-0.000244,0.000202,0.000446,,,
2020-01-26,-0.001068,0.002651,0.003723,-0.001754,-0.002820,0.000892,-0.000627,0.003058,0.003687,,,
2020-01-27,-0.000958,-0.000754,0.000204,0.002508,0.001547,0.001752,0.001686,0.001515,-0.000170,,,
2020-01-28,0.002631,-0.000381,-0.003005,0.002294,0.004932,0.001912,0.002864,-0.000164,-0.003019,,,
2020-01-29,0.003870,-0.002485,-0.006331,0.005082,0.008972,0.002584,0.002704,0.000500,-0.002198,,,
2020-01-30,0.002672,-0.001022,-0.003684,0.010481,0.013181,0.009448,0.001162,-0.001551,-0.002710,,,
2020-01-31,0.004614,0.000612,-0.003983,-0.009304,-0.004733,-0.008697,0.001452,-0.003789,-0.005234,,,
2020-02-01,0.003787,-0.000006,-0.003779,0.010026,0.013851,0.010020,0.002147,-0.001083,-0.003223,,,
2020-02-02,0.004083,0.001659,-0.002414,-0.005527,-0.001467,-0.003878,0.001328,0.000404,-0.000923,,,
2020-02-03,0.002552,0.002429,-0.000123,-0.009017,-0.006488,-0.006610,0.001953,-0.000922,-0.002870,,,
2020-02-04,0.001642,0.000191,-0.001448,0.013278,0.014941,0.013471,0.002125,0.000808,-0.001314,,,
2020-02-05,0.002943,0.002972,0.000029,-0.002349,0.000588,0.000617,-0.000293,0.001992,0.002286,,,
2020-02-06,0.000082,0.000664,0.000582,-0.000009,0.000073,0.000655,0.001888,0.000365,-0.001521,,,
2020-02-07,-0.004716,-0.000516,0.004220,0.013537,0.008758,0.013014,-0.002901,-0.000304,0.002605,,,
2020-02-08,-0.002807,0.000305,0.003121,-0.014531,-0.017297,-0.014231,-0.002082,0.002461,0.004552,,,
2020-02-09,0.001875,0.000157,-0.001715,0.001226,0.003103,0.001383,-0.001498,0.001781,0.003284,,,
2020-02-10,-0.000444,0.002526,0.002971,0.011726,0.011277,0.014282,0.000203,0.003021,0.002818,,,
2020-02-11,0.001525,0.001955,0.000430,-0.005559,-0.004042,-0.003614,0.001135,0.000336,-0.000799,,,
2020-02-12,-0.002467,-0.001808,0.000660,0.021273,0.018754,0.019427,-0.003391,-0.001839,0.001557,,,
2020-02-13,-0.003725,0.004399,0.008155,0.000286,-0.003440,0.004687,-0.003515,-0.001278,0.002245,,,
