pair,mean_pct,std_pct,p99_pct,p01_pct,n
Binance↔OKX (X=ETH),-0.0113,0.2335,0.5215,-0.5446,2192
Binance↔Bybit (X=ETH),0.0251,0.2472,0.5849,-0.5650,2192
OKX↔Bybit (X=ETH),0.0369,0.3402,0.8127,-0.7424,2192
Bithumb↔Binance (X=ETH),0.0836,0.8524,2.2706,-1.8233,2192
Bithumb↔OKX (X=ETH),0.0723,0.8876,2.3031,-1.9568,2192
Bithumb↔Bybit (X=ETH),0.1088,0.9022,2.4371,-1.8682,2192
Binance↔OKX (X=BNB),-0.0358,0.2190,0.4468,-0.5608,2192
Binance↔Bybit (X=BNB),-0.0044,0.2353,0.5428,-0.5348,2192
OKX↔Bybit (X=BNB),0.0319,0.3227,0.7741,-0.6705,2192
Bithumb↔Binance (X=BNB),0.1091,1.5920,4.9431,-3.2925,1680
Bithumb↔OKX (X=BNB),0.0744,1.6109,4.7871,-3.4085,1680
Bithumb↔Bybit (X=BNB),0.1020,1.6252,5.1738,-3.4225,1680
