date,usdkrw,usdt_bithumb_krw,btc_binance_usdt,btc_bithumb_krw,eth_binance_usdt,eth_bithumb_krw,bnb_binance_usdt,bnb_bithumb_krw,xvs_binance_usdt,xvs_bithumb_krw,btc_okx_usdt,eth_okx_usdt,bnb_okx_usdt,btc_bybit_usdt,eth_bybit_usdt,bnb_bybit_usdt
2020-01-01,1177.5453,1188.4576,7705.1755,9229776.4219,141.6693,170304.7504,14.0168,,,,7704.4050,141.6693,14.0196,7705.9460,141.6551,14.0182
2020-01-02,1173.8714,1185.9401,7673.1638,9020137.0598,144.2989,168939.6187,14.0669,,,,7683.0988,144.0117,14.0611,7657.8711,144.6761,14.0877
2020-01-03,1177.9325,1198.0293,7707.6945,9138441.4891,144.5446,172775.3519,13.8383,,,,7713.3679,144.6815,13.8187,7699.2388,144.7950,13.8626
2020-01-04,1176.7486,1192.1278,7631.8498,9073895.2985,146.4748,172465.2506,14.0079,,,,7648.2829,146.5042,13.9946,7639.2259,146.9192,14.0075
2020-01-05,1178.7109,1190.7105,7464.7344,8807260.0890,147.5976,174419.3298,13.7821,,,,7457.5214,147.7749,13.7790,7474.1136,147.5739,13.7821
2020-01-06,1175.7006,1185.4379,7564.3825,8988404.8267,147.5559,173188.3366,13.9995,,,,7548.4145,147.8981,14.0168,7587.7485,147.2907,14.0080
2020-01-07,1170.6248,1188.0831,7653.9401,9046553.5716,147.2657,173891.4491,13.9049,,,,7638.4727,147.1940,13.9311,7655.3069,147.1035,13.8847
2020-01-08,1173.7728,1180.1215,7615.9750,9171330.3961,146.9775,178223.1698,13.5978,,,,7610.8899,146.6673,13.6262,7612.6637,146.7328,13.6000
2020-01-09,1180.2204,1196.3545,7606.0557,9114056.9463,147.9509,177359.8544,13.8113,,,,7602.0449,147.3683,13.8186,7594.4482,147.9736,13.7946
2020-01-10,1184.3070,1193.5048,7614.8305,9114089.5512,147.8197,177959.0395,13.7634,,,,7607.8298,147.2126,13.7782,7600.7648,147.4670,13.7421
2020-01-11,1174.9841,1181.6480,7544.9899,8980191.9242,150.0659,177086.5810,13.6101,,,,7536.1231,149.9921,13.5988,7534.4490,149.6600,13.6224
2020-01-12,1173.8523,1183.4753,7459.5074,8840325.6843,149.5093,177206.5699,13.5207,,,,7458.6870,149.2162,13.5559,7447.6874,149.5009,13.5069
2020-01-13,1176.9848,1187.3910,7427.7614,8825664.0038,148.7928,177057.4323,13.6803,,,,7433.8088,148.7942,13.7070,7435.5193,148.7850,13.6626
2020-01-14,1178.7422,1193.7713,7216.7845,8678634.0095,147.6832,179411.2833,13.6563,,,,7210.5819,147.6847,13.6542,7216.1434,147.3899,13.6472
2020-01-15,1181.6731,1194.1859,7183.9232,8483186.4037,144.4344,170942.7302,13.7606,,,,7185.0861,144.3769,13.7866,7193.8865,144.3002,13.7316
2020-01-16,1182.1728,1193.3740,7133.3580,8547331.5294,143.8053,173689.5073,13.8674,,,,7133.1404,144.1160,13.9224,7145.2019,143.4618,13.8669
2020-01-17,1175.1257,1182.8840,7088.0173,8400614.6018,143.3833,171351.6495,13.8852,,,,7101.3462,143.6300,13.8991,7111.0837,143.1948,13.8887
2020-01-18,1176.4697,1190.9872,7138.9196,8531917.6056,149.7689,180826.8056,13.5675,,,,7134.2063,150.2017,13.5556,7149.9587,149.7667,13.5451
2020-01-19,1180.5138,1200.2155,7083.4920,8459788.1996,149.4012,176662.3266,13.3413,,,,7088.2485,149.9930,13.3640,7077.5915,149.4770,13.2950
2020-01-20,1179.6308,1190.5333,7113.7229,8395553.1328,146.6503,171752.3101,13.4075,,,,7126.0205,147.0122,13.3889,7112.0714,146.7538,13.3868
2020-01-21,1191.5918,1205.1900,7084.6243,8522389.6729,148.0928,178085.5741,13.3239,,,,7069.2584,148.6831,13.3516,7089.4793,147.7344,13.3199
2020-01-22,1186.2745,1200.0045,7098.0930,8494666.8886,150.3190,178933.5307,13.3740,,,,7080.4894,150.6529,13.4217,7103.6054,149.8200,13.4036
2020-01-23,1180.4667,1193.0001,7032.9239,8420187.9169,153.0689,183907.8216,13.6100,,,,7026.7623,153.1862,13.6204,7045.8546,152.7638,13.6234
2020-01-24,1185.9141,1200.0494,7015.3800,8442974.0041,155.3116,188217.2653,13.8538,,,,7002.7828,155.4887,13.8639,7031.1635,154.9389,13.8597
2020-01-25,1184.4114,1196.2887,7131.5528,8579130.5585,154.3426,188731.4130,13.8370,,,,7131.9754,154.6676,13.8412,7137.5906,154.4427,13.8459
2020-01-26,1186.0277,1196.8869,7121.1739,8523877.2041,153.9299,183927.2838,14.1131,,,,7121.3782,154.0989,14.1224,7144.2845,154.0212,14.1157
2020-01-27,1183.7206,1193.5347,7122.4796,8544278.0826,149.1902,179420.5607,14.2257,,,,7129.3772,149.4779,14.2155,7124.8994,149.3535,14.2090
2020-01-28,1187.1224,1195.2351,7122.6681,8596827.8294,149.1052,180378.0142,14.0535,,,,7128.9547,148.8452,14.0257,7117.0963,149.0454,14.0448
2020-01-29,1185.0222,1192.9928,7222.4184,8641051.3186,150.5125,180991.4119,14.1920,,,,7233.4370,150.1610,14.1753,7223.6553,150.9133,14.1873
2020-01-30,1182.9409,1192.2819,7176.7071,8520675.7377,151.3905,181624.9576,14.3299,,,,7176.1564,150.9754,14.3122,7177.4561,151.5612,14.3537
2020-01-31,1185.6224,1199.7005,7158.4169,8666444.5982,149.5152,179328.7320,14.4252,,,,7169.7439,149.0640,14.4271,7156.4211,149.3821,14.4760
2020-02-01,1181.4251,1190.9962,7205.7781,8657207.4818,148.8904,180674.1582,14.5492,,,,7219.1418,148.6037,14.5450,7206.5616,148.9074,14.5666
2020-02-02,1184.5109,1198.5449,7203.6238,8631570.0539,149.1519,177729.8465,14.6866,,,,7206.8711,148.6124,14.6737,7209.6065,149.0285,14.6929
2020-02-03,1186.3610,1198.6362,7277.1804,8835891.6405,150.2535,180791.5699,14.9550,,,,7286.8930,150.0710,14.9458,7282.2533,149.9940,14.9792
2020-02-04,1176.0890,1186.4308,7378.4113,8732978.5346,146.7271,175969.8612,14.9146,,,,7393.7912,146.7920,14.9140,7389.7872,146.9252,14.9255
2020-02-05,1181.7687,1190.5906,7393.1099,8777078.4886,145.4971,172328.0631,15.2218,,,,7392.4881,145.0580,15.2250,7416.8580,145.5319,15.2403
2020-02-06,1185.0125,1199.7216,7287.6151,8721355.4840,143.7209,171994.5773,14.9652,,,,7287.2267,143.7015,14.9362,7307.0838,144.0093,14.9997
2020-02-07,1188.7719,1199.8527,7342.2934,8742974.2213,141.2887,170519.7553,14.9079,,,,7317.8291,141.4851,14.9015,7348.8502,141.4879,14.9258
2020-02-08,1191.0048,1199.0891,7439.8321,8873088.5372,142.5573,167549.8829,14.5250,,,,7434.0531,142.8476,14.5440,7445.6128,142.6246,14.5006
2020-02-09,1189.3940,1201.1533,7418.2281,8958721.5569,144.5208,174746.4083,14.2195,,,,7419.4764,144.2746,14.2432,7421.6333,144.5645,14.2007
2020-02-10,1182.8152,1190.7797,7395.3723,8894501.7633,145.7216,177316.2585,14.6090,,,,7386.3345,145.6082,14.5882,7403.2137,145.5086,14.5804
2020-02-11,1186.1550,1192.5733,7511.0330,9053743.1363,147.0950,176321.6102,14.4872,,,,7518.2613,147.0123,14.4847,7514.0886,146.8676,14.4882
2020-02-12,1180.1978,1192.7175,7367.0928,8688905.6701,144.9892,174641.1391,14.4227,,,,7346.8456,144.9482,14.4320,7356.9174,145.0512,14.4293
2020-02-13,1192.3021,1204.4916,7477.4233,9038492.9293,143.6669,173710.1166,14.5472,,,,7449.8939,143.6731,14.5448,7483.8238,143.1600,14.5783
2020-02-14,1190.3031,1204.2872,7317.2760,8833127.9278,141.8784,170466.7612,14.6820,,,,7290.4266,141.8098,14.6328,7323.2280,141.7937,14.7221
2020-02-15,1183.0618,1200.4226,7374.5350,8813940.6552,143.9127,173176.4111,14.3908,,,,7363.1765,143.6414,14.3616,7378.3970,143.7771,14.4372
2020-02-16,1188.1200,1198.2463,7311.2329,8796549.1919,143.7345,174107.7422,14.5446,,,,7318.0891,143.3165,14.5634,7302.9896,143.2924,14.5653
2020-02-17,1184.3634,1196.5727,7351.5536,8801087.4267,145.8339,175182.8047,14.3996,,,,7362.9372,145.7144,14.4150,7353.9829,145.6527,14.3956
2020-02-18,1188.2229,1198.6814,7372.9466,8912050.6754,147.2725,177769.9773,14.2938,,,,7388.3304,147.1225,14.3099,7383.1570,147.0712,14.2853
2020-02-19,1193.6532,1205.5043,7366.1546,8985810.3636,145.2961,176470.9783,14.6276,,,,7372.9161,145.1003,14.6503,7379.1067,145.0230,14.6591
