date,pi_btc_krw,pi_btc_usdt,pi_eth_krw,pi_eth_usdt,pi_bnb_krw,pi_bnb_usdt,pi_xvs_krw,pi_xvs_usdt,pi_eth_btc,pi_bnb_btc,pi_xvs_btc,alpha_xvs_eth,alpha_bnb_eth
2020-01-01,0.017258,0.007917,0.020877,0.011503,,,,,0.003557,,,,
2020-01-02,0.001424,-0.008767,-0.002649,-0.012799,,,,,-0.004068,,,,
2020-01-03,0.006531,-0.010353,0.014751,-0.002271,,,,,0.008167,,,,
2020-01-04,0.010370,-0.002665,0.000588,-0.012321,,,,,-0.009682,,,,
2020-01-05,0.000966,-0.009122,0.002555,-0.007549,,,,,0.001587,,,,
2020-01-06,0.010677,0.002375,-0.001690,-0.009890,,,,,-0.012236,,,,
2020-01-07,0.009672,-0.005164,0.008693,-0.006129,,,,,-0.000970,,,,
2020-01-08,0.025942,0.020423,0.033069,0.027512,,,,,0.006947,,,,
2020-01-09,0.015288,0.001595,0.015721,0.002023,,,,,0.000427,,,,
2020-01-10,0.010622,0.002834,0.016538,0.008704,,,,,0.005854,,,,
2020-01-11,0.012966,0.007254,0.004319,-0.001345,,,,,-0.008537,,,,
2020-01-12,0.009589,0.001380,0.009714,0.001504,,,,,0.000123,,,,
2020-01-13,0.009529,0.000681,0.011024,0.002163,,,,,0.001481,,,,
2020-01-14,0.020208,0.007364,0.030623,0.017648,,,,,0.010209,,,,
2020-01-15,-0.000691,-0.011161,0.001573,-0.008922,,,,,0.002265,,,,
2020-01-16,0.013574,0.004061,0.021687,0.012097,,,,,0.008004,,,,
2020-01-17,0.008561,0.001946,0.016964,0.010294,,,,,0.008332,,,,
2020-01-18,0.015859,0.003476,0.026267,0.013758,,,,,0.010246,,,,
2020-01-19,0.011675,-0.004932,0.001656,-0.014786,,,,,-0.009903,,,,
2020-01-20,0.000475,-0.008687,-0.007173,-0.016265,,,,,-0.007644,,,,
2020-01-21,0.009525,-0.001866,0.009177,-0.002210,,,,,-0.000345,,,,
2020-01-22,0.008833,-0.002709,0.003443,-0.008038,,,,,-0.005343,,,,
2020-01-23,0.014220,0.003565,0.017793,0.007101,,,,,0.003523,,,,
2020-01-24,0.014825,0.002871,0.021886,0.009849,,,,,0.006958,,,,
2020-01-25,0.015679,0.005595,0.032418,0.022168,,,,,0.016481,,,,
2020-01-26,0.009231,0.000075,0.007461,-0.001679,,,,,-0.001754,,,,
2020-01-27,0.013433,0.005100,0.015974,0.007620,,,,,0.002508,,,,
2020-01-28,0.016717,0.009816,0.019050,0.012133,,,,,0.002294,,,,
2020-01-29,0.009619,0.002873,0.014750,0.007970,,,,,0.005082,,,,
2020-01-30,0.003658,-0.004205,0.014177,0.006232,,,,,0.010481,,,,
2020-01-31,0.021122,0.009139,0.011622,-0.000250,,,,,-0.009304,,,,
2020-02-01,0.016929,0.008757,0.027125,0.018871,,,,,0.010026,,,,
2020-02-02,0.011579,-0.000266,0.005987,-0.005792,,,,,-0.005528,,,,
2020-02-03,0.023459,0.012978,0.014231,0.003844,,,,,-0.009017,,,,
2020-02-04,0.006374,-0.002398,0.019736,0.010847,,,,,0.013278,,,,
2020-02-05,0.004593,-0.002850,0.002234,-0.005192,,,,,-0.002349,,,,
2020-02-06,0.009894,-0.002488,0.009885,-0.002496,,,,,-0.000008,,,,
2020-02-07,0.001680,-0.007571,0.015240,0.005864,,,,,0.013538,,,,
2020-02-08,0.001378,-0.005373,-0.013173,-0.019826,,,,,-0.014531,,,,
2020-02-09,0.015360,0.005420,0.016605,0.006652,,,,,0.001226,,,,
2020-02-10,0.016821,0.010020,0.028745,0.021864,,,,,0.011726,,,,
2020-02-11,0.016218,0.010749,0.010569,0.005131,,,,,-0.005559,,,,
2020-02-12,-0.000658,-0.011148,0.020601,0.009888,,,,,0.021273,,,,
2020-02-13,0.013813,0.003553,0.014103,0.003840,,,,,0.000286,,,,
2020-02-14,0.014162,0.002386,0.009406,-0.002315,,,,,-0.004690,,,,
2020-02-15,0.010248,-0.004362,0.017143,0.002433,,,,,0.006825,,,,
2020-02-16,0.012655,0.004097,0.019523,0.010907,,,,,0.006782,,,,
2020-02-17,0.010816,0.000502,0.014257,0.003908,,,,,0.003404,,,,
2020-02-18,0.017276,0.008400,0.015872,0.007008,,,,,-0.001380,,,,
2020-02-19,0.021970,0.011923,0.017516,0.007513,,,,,-0.004358,,,,
2020-02-20,0.021324,0.007219,0.024747,0.010595,,,,,0.003352,,,,
2020-02-21,0.018129,0.006183,0.010037,-0.001813,,,,,-0.007948,,,,
2020-02-22,0.003442,-0.003207,0.007169,0.000494,,,,,0.003713,,,,
2020-02-23,0.015842,0.001641,0.024363,0.010043,,,,,0.008389,,,,
2020-02-24,0.012171,0.003368,0.026281,0.017356,,,,,0.013941,,,,
2020-02-25,0.019216,0.007621,0.015868,0.004311,,,,,-0.003285,,,,
2020-02-26,0.024704,0.019757,0.023937,0.018994,,,,,-0.000748,,,,
2020-02-27,0.020678,0.005034,0.016687,0.001104,,,,,-0.003910,,,,
2020-02-28,0.008604,-0.003172,0.009885,-0.001906,,,,,0.001270,,,,
2020-02-29,0.013114,-0.002045,0.020831,0.005556,,,,,0.007617,,,,
2020-03-01,0.017200,0.011090,0.014440,0.008346,,,,,-0.002714,,,,
2020-03-02,0.017033,0.003045,0.034421,0.020193,,,,,0.017096,,,,
2020-03-03,0.022518,0.009915,0.027830,0.015161,,,,,0.005195,,,,
2020-03-04,0.007523,-0.005086,0.003726,-0.008835,,,,,-0.003768,,,,
2020-03-05,0.020389,0.016619,0.024058,0.020275,,,,,0.003596,,,,
2020-03-06,0.008798,0.001435,0.006180,-0.001165,,,,,-0.002596,,,,
2020-03-07,0.007498,-0.003456,-0.003313,-0.014150,,,,,-0.010731,,,,
2020-03-08,0.016543,0.007036,0.013798,0.004316,,,,,-0.002701,,,,
2020-03-09,0.007282,-0.006856,0.009883,-0.004291,,,,,0.002582,,,,
2020-03-10,0.018049,0.009621,0.019597,0.011157,,,,,0.001521,,,,
2020-03-11,0.018124,0.010517,0.007014,-0.000511,,,,,-0.010913,,,,
2020-03-12,0.013522,0.004667,0.020688,0.011770,,,,,0.007070,,,,
2020-03-13,0.011830,-0.001968,0.017448,0.003574,,,,,0.005552,,,,
2020-03-14,0.009665,-0.003220,0.007839,-0.005022,,,,,-0.001808,,,,
2020-03-15,0.009186,0.005287,0.007201,0.003309,,,,,-0.001967,,,,
2020-03-16,0.003522,-0.011131,-0.007697,-0.022186,,,,,-0.011179,,,,
2020-03-17,0.020240,0.009794,0.019694,0.009253,,,,,-0.000536,,,,
2020-03-18,0.008338,-0.007955,0.005145,-0.011097,,,,,-0.003167,,,,
2020-03-19,0.011788,0.003399,0.006730,-0.001618,,,,,-0.005000,,,,
2020-03-20,0.013649,0.005554,0.020048,0.011901,,,,,0.006313,,,,
2020-03-21,0.005817,-0.005699,0.012855,0.001259,,,,,0.006997,,,,
2020-03-22,0.009800,-0.001622,0.019510,0.007979,,,,,0.009616,,,,
2020-03-23,0.021365,0.009975,0.008077,-0.003165,,,,,-0.013010,,,,
2020-03-24,0.001707,-0.007709,0.007161,-0.002306,,,,,0.005445,,,,
2020-03-25,0.021381,0.007477,0.027652,0.013662,,,,,0.006139,,,,
2020-03-26,0.011767,-0.000073,0.005857,-0.005914,,,,,-0.005841,,,,
2020-03-27,0.003670,-0.004973,0.010199,0.001499,,,,,0.006505,,,,
2020-03-28,0.014062,0.001828,0.021772,0.009445,,,,,0.007604,,,,
2020-03-29,0.009675,0.002869,0.000904,-0.005842,,,,,-0.008687,,,,
2020-03-30,0.021349,0.011954,0.034602,0.025085,,,,,0.012976,,,,
2020-03-31,0.011123,0.004626,0.004530,-0.001925,,,,,-0.006520,,,,
2020-04-01,0.009730,-0.006171,-0.006226,-0.021876,,,,,-0.015802,,,,
2020-04-02,0.018183,0.007128,0.027164,0.016011,,,,,0.008820,,,,
2020-04-03,0.008481,-0.001207,0.004037,-0.005609,,,,,-0.004407,,,,
2020-04-04,0.010715,0.000139,0.014310,0.003696,,,,,0.003557,,,,
